CustomerCode,CustomerName,LocationCode,Address
32RONC,RONACO INDUSTRIES (O/A)1416600,,
32ROOF,ROOFMART ALBERTA INC - CALG,,
32ROSE,ROSEDALE COLONY FARMING CO LTD,,
32ROUT,ROUTER-TEC INC,,
32RPLY,R RIPLEY & SON SHEET METAL LTD,,
32RSCL,RUSSEL METALS INC - CALGARY,,
32RSM,ROSEDALE SHEET METAL (2002) LT,,
32RUFF,RUFF IN INDUSTRIES ~COD,,
32SACS,SOUTHERN ALBERTA CONSTRUCTION,,
32SAMU,SAMUEL PLUMBING & HEATING LTD.,,
32SCTT,SCOTT SPRINGFIELD MFG INC,,
32SF,STANDARD FLASHING LTD,,
32SFC,STARLAND FARMING CO LTD,,
32SHAN,SHANAHAN'S LIMITED PARTNERSHIP,,
32SIDE,SIDERMAN LTD ~COD,,
32SIEG,SIEGBERT STEEL INC,,
32SILV,SILVERSAGE COLONY FARMING CO,,
32SKIL,SKILL METAL FABRICATORS INC,,
32SLND,SOUTHLAND TRAILER CORP,,
32SPAW,SOUTHPAW METAL LTD,,
32SPR,SPRINGSIDE COLONY FARMING LTD,,
32SPRI,HUTTERIAN BRETHREN-SPRINGVALE,,
32SPRN,SPRING AIR ACOUSTICS,,
32SSM,STAR SHEET METAL (AB) LTD,,
32STAN,STANDARD COLONY FARMING CO LTD,,
32STE,SUPERIOR TRUCK EQUIPMENT ~COD,,
32STH,SOUTHAMPTON IND MFG INC,,
32STRA,STRAIGHT-UP METAL BLDGS LTD,,
32STRK,STARKS PLUMBING & HEATING LTD,,
32SUND,SUNDER CUSTOM METALS LTD,,
32SUNR,SUNRISE COLONY GRAIN & LIVEST-,,
32SUNS,SUNSHINE COLONY ~COD,,
32SURE,SUREWAY METAL SYSTEMS LTD,,
32THER,THERMAL SYSTEMS KWC LTD,,
32THIL,THREE HILLS COLONY,,
32TIN,THE TIN SHOPPE,,
32TITN,TITAN ROOFING INC,,
32TOPL,TOPLINE ROOFING ~COD,,
32TOPM,TOPMADE PLASTICS & NEON SIGNS,,
32TORN,TORNADO GLOBAL HYDROVACS,,
